epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.41.531;2.450;0.554;-0.053;0.856;-226.280;93.598;77.988
1,73E+12;2024-09-28T15.05.41.541;2.460;0.542;-0.083;0.812;-227.317;118.049;76.159
1,73E+12;2024-09-28T15.05.41.551;2.470;0.488;-0.133;0.749;-227.195;131.585;71.890
1,73E+12;2024-09-28T15.05.41.561;2.480;0.378;-0.190;0.708;-226.037;135.427;67.500
1,73E+12;2024-09-28T15.05.41.571;2.490;0.254;-0.251;0.667;-223.720;132.195;65.366
1,73E+12;2024-09-28T15.05.41.581;2.500;0.177;-0.301;0.640;-220.427;125.366;63.963
1,73E+12;2024-09-28T15.05.41.591;2.510;0.149;-0.332;0.639;-216.220;118.720;59.878
1,73E+12;2024-09-28T15.05.41.601;2.520;0.121;-0.356;0.625;-212.805;114.695;53.659
1,73E+12;2024-09-28T15.05.41.611;2.530;0.074;-0.370;0.569;-211.463;109.878;49.085
1,73E+12;2024-09-28T15.05.41.621;2.540;0.029;-0.386;0.484;-212.439;99.634;46.402
1,73E+12;2024-09-28T15.05.41.631;2.550;-0.014;-0.407;0.425;-215.793;86.585;43.720
1,73E+12;2024-09-28T15.05.41.641;2.560;-0.038;-0.431;0.390;-220.488;72.439;43.049
1,73E+12;2024-09-28T15.05.41.651;2.570;-0.009;-0.445;0.374;-223.720;58.232;42.622
1,73E+12;2024-09-28T15.05.41.661;2.580;0.057;-0.475;0.377;-223.780;44.695;39.512
